question_id,statement,human_labels,alternative_label,jaccard_distance,consensus_status,filter_reason,models_supporting_alternative_label,supporting_model_count
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,false causality,0.6294444392124812,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,8
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,faulty generalization,0.721944440032045,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,false causality,0.721944440032045,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,9
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,faulty generalization,0.7170833287139734,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,fallacy of relevance,0.7170833287139734,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507,6
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,fallacy of extension,0.7170833287139734,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-pro-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,5
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",appeal to emotion; fallacy of credibility,faulty generalization,0.6955555515984694,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",appeal to emotion; fallacy of credibility,false causality,0.6955555515984694,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,9
24,By the time I get to Australia to see it the whole bloody lot will have dissolved . ’,appeal to emotion,faulty generalization,0.729861107468605,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; x-ai_grok-4-fast,6
24,By the time I get to Australia to see it the whole bloody lot will have dissolved . ’,appeal to emotion,false causality,0.729861107468605,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-flash-thinking; gemini-pro-non; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,5
30,"They live in a world where conditions are so extreme that fire seasons in the northern and southern hemispheres overlap , stretching resources at a time when they ’ re needed most .",appeal to emotion,false causality,0.6347222191592058,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,11
31,"It should go without saying that if scientists can not yet make accurate predictions about future climate change , then their understanding of climate science remains highly incomplete .",circular reasoning,false causality,0.7159722187866767,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,11
31,"It should go without saying that if scientists can not yet make accurate predictions about future climate change , then their understanding of climate science remains highly incomplete .",circular reasoning,faulty generalization,0.7159722187866767,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-flash-non; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,7
31,"It should go without saying that if scientists can not yet make accurate predictions about future climate change , then their understanding of climate science remains highly incomplete .",circular reasoning,false dilemma,0.7159722187866767,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; x-ai/grok-4-fast-thinking,6
33,"Peatland fires in Indonesia in 1997 , for instance , added to the global CO2 release by up to 40 percent , and more burning only means more warming only means more burning .",circular reasoning,false causality,0.6333333268761635,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
33,"Peatland fires in Indonesia in 1997 , for instance , added to the global CO2 release by up to 40 percent , and more burning only means more warming only means more burning .",circular reasoning,faulty generalization,0.6333333268761635,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,8
34,"Instead of negotiating over climate change policies and trying to make them more market-oriented , some political conservatives have taken the approach of blocking them by trying to undermine the science .",circular reasoning,ad hominem,0.686388885229826,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,11
34,"Instead of negotiating over climate change policies and trying to make them more market-oriented , some political conservatives have taken the approach of blocking them by trying to undermine the science .",circular reasoning,false dilemma,0.686388885229826,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10
34,"Instead of negotiating over climate change policies and trying to make them more market-oriented , some political conservatives have taken the approach of blocking them by trying to undermine the science .",circular reasoning,fallacy of extension,0.686388885229826,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-pro-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,7
36,"“ Fossil fuels don ’ t take a clean environment and make it dirty , ” noted Alex Epstein , `` they take a dirty environment and make it clean. ” Fossil fuels , he adds , “ don ’ t take a safe climate and make it dangerous , they take a dangerous climate and make it safe . ”",circular reasoning,false causality,0.7444444421678782,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10
36,"“ Fossil fuels don ’ t take a clean environment and make it dirty , ” noted Alex Epstein , `` they take a dirty environment and make it clean. ” Fossil fuels , he adds , “ don ’ t take a safe climate and make it dangerous , they take a dangerous climate and make it safe . ”",circular reasoning,false dilemma,0.7444444421678782,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507,8
36,"“ Fossil fuels don ’ t take a clean environment and make it dirty , ” noted Alex Epstein , `` they take a dirty environment and make it clean. ” Fossil fuels , he adds , “ don ’ t take a safe climate and make it dangerous , they take a dangerous climate and make it safe . ”",circular reasoning,equivocation,0.7444444421678782,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,7
36,"“ Fossil fuels don ’ t take a clean environment and make it dirty , ” noted Alex Epstein , `` they take a dirty environment and make it clean. ” Fossil fuels , he adds , “ don ’ t take a safe climate and make it dangerous , they take a dangerous climate and make it safe . ”",circular reasoning,appeal to emotion,0.7444444421678782,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-thinking; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,5
36,"“ Fossil fuels don ’ t take a clean environment and make it dirty , ” noted Alex Epstein , `` they take a dirty environment and make it clean. ” Fossil fuels , he adds , “ don ’ t take a safe climate and make it dangerous , they take a dangerous climate and make it safe . ”",circular reasoning,faulty generalization,0.7444444421678782,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,5
39,"For some groups of close temperature measures ( and NASA and NOAA are dealing with thousands of very close temperatures ) , one method of calculating an average can lead to a determination of warming while another can lead to a conclusion of cooling .",equivocation,false dilemma,0.719722218811512,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,11
39,"For some groups of close temperature measures ( and NASA and NOAA are dealing with thousands of very close temperatures ) , one method of calculating an average can lead to a determination of warming while another can lead to a conclusion of cooling .",equivocation,faulty generalization,0.719722218811512,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; x-ai/grok-4-fast-thinking,5
41,"Although alarmists frequently point to a modest recent shrinkage in the Arctic ice sheet , that decline has been completely offset by ice sheet expansion in the Antarctic . Cumulatively , polar ice sheets have not declined at all since NASA satellite instruments began precisely measuring them 35 years ago . Alarmist Assertion # 5",equivocation,fallacy of extension,0.7890277753273646,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,8
41,"Although alarmists frequently point to a modest recent shrinkage in the Arctic ice sheet , that decline has been completely offset by ice sheet expansion in the Antarctic . Cumulatively , polar ice sheets have not declined at all since NASA satellite instruments began precisely measuring them 35 years ago . Alarmist Assertion # 5",equivocation,faulty generalization,0.7890277753273646,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507,8
41,"Although alarmists frequently point to a modest recent shrinkage in the Arctic ice sheet , that decline has been completely offset by ice sheet expansion in the Antarctic . Cumulatively , polar ice sheets have not declined at all since NASA satellite instruments began precisely measuring them 35 years ago . Alarmist Assertion # 5",equivocation,ad hominem,0.7890277753273646,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b,6
42,"In addition , it said , the United States along with Bangladesh , China , Egypt , India , Indonesia , Japan , the Philippines and Vietnam are home to 50 million people who will be exposed to the effects of increased coastal flooding by 2040 , if 2.7 degrees of warming occur .",equivocation,false causality,0.7055555537343026,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,11
43,"Legates interjects , “ Yes , the water has been rising for approximately 20,000 years . ”",equivocation,fallacy of relevance,0.7969444420188665,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,9
43,"Legates interjects , “ Yes , the water has been rising for approximately 20,000 years . ”",equivocation,false causality,0.7969444420188665,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,6
43,"Legates interjects , “ Yes , the water has been rising for approximately 20,000 years . ”",equivocation,faulty generalization,0.7969444420188665,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,5
44,"By “ global warming ” these papers don ’ t , of course , mean the mild warming of around 0.8 degrees Celsius that the planet has experienced since the middle of the 19th century as the world crawled out of the Little Ice Age .",equivocation; intentional,fallacy of extension,0.7030555515239636,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,8
44,"By “ global warming ” these papers don ’ t , of course , mean the mild warming of around 0.8 degrees Celsius that the planet has experienced since the middle of the 19th century as the world crawled out of the Little Ice Age .",equivocation; intentional,false causality,0.7030555515239636,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-5; x-ai/grok-4-fast-thinking,6
44,"By “ global warming ” these papers don ’ t , of course , mean the mild warming of around 0.8 degrees Celsius that the planet has experienced since the middle of the 19th century as the world crawled out of the Little Ice Age .",equivocation; intentional,appeal to emotion,0.7030555515239636,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; gemini-pro-non; gemini-pro-thinking; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,5
45,"That is , all these different experts from around the world — China , Russia , Canada , the U.S. , Italy , etc . — have been looking closely at different aspects of the global warming puzzle in various regions and on different timescales and come to the conclusion in irreproachable , peer-reviewed scientific ways that there is no evidence to support the global warming scare story .",equivocation; intentional,faulty generalization,0.6336111079901456,filtered_out_high_disagreement,Standard_Jaccard_Distance > 0.5566,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,12
