question_id,statement,mapped_human_label,models_matching_human_label,matching_model_count
22,"And since the biggest risk to humanity is poverty , if we allow policymakers to have their way , the resulting energy poverty will indeed cause the deaths of some of our children and grandchildren .",appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
23,” Britain ’ s most high-profile environmental group claimed “ Climate Change Kills Children . ”,appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
24,By the time I get to Australia to see it the whole bloody lot will have dissolved . ’,appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507,10
25,"The glaciers of Pine Island Bay are two of the largest and fastest-melting in Antarctica . ( A Rolling Stone feature earlier this year dubbed Thwaites “ The Doomsday Glacier. ” ) Together , they act as a plug holding back enough ice to pour 11 feet of sea-level rise into the world ’ s oceans — an amount that would submerge every coastal city on the planet .",appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
26,"That combination is deadly : thanks to sea-level rise due to climate change , flooding is going to get much worse .",appeal to emotion,deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,11
27,"“ It ’ s sobering to think of this magnificent landscape and how fundamentally it can change over a relatively short time period , ” he added .",appeal to emotion,gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10
28,"Even if we meet the Paris goals of two degrees warming , cities like Karachi and Kolkata will become close to uninhabitable , annually encountering deadly heat waves like those that crippled them in 2015 .",appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,10
29,"At four degrees , the deadly European heat wave of 2003 , which killed as many as 2,000 people a day , will be a normal summer .",appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
29,"At four degrees , the deadly European heat wave of 2003 , which killed as many as 2,000 people a day , will be a normal summer .",faulty generalization,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10
30,"They live in a world where conditions are so extreme that fire seasons in the northern and southern hemispheres overlap , stretching resources at a time when they ’ re needed most .",appeal to emotion,deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507,7
33,"Peatland fires in Indonesia in 1997 , for instance , added to the global CO2 release by up to 40 percent , and more burning only means more warming only means more burning .",circular reasoning,moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,6
37,“ Why do we keep getting so many record-warm years ? ” Dr. Schmidt asked in an interview . “ It ’ s because the planet is warming .,circular reasoning,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,12
39,"For some groups of close temperature measures ( and NASA and NOAA are dealing with thousands of very close temperatures ) , one method of calculating an average can lead to a determination of warming while another can lead to a conclusion of cooling .",equivocation,deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,7
41,"Although alarmists frequently point to a modest recent shrinkage in the Arctic ice sheet , that decline has been completely offset by ice sheet expansion in the Antarctic . Cumulatively , polar ice sheets have not declined at all since NASA satellite instruments began precisely measuring them 35 years ago . Alarmist Assertion # 5",equivocation,anthropic/claude-sonnet-4.5; gemini-pro-thinking; openai/gpt-5; x-ai_grok-4-fast,4
44,"By “ global warming ” these papers don ’ t , of course , mean the mild warming of around 0.8 degrees Celsius that the planet has experienced since the middle of the 19th century as the world crawled out of the Little Ice Age .",equivocation,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-flash-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11
46,"No one and nothing would experience it directly since we all live in regions , not the globe .",equivocation,gemini-pro-thinking; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,3
48,"The liberal media might take issue with a U.S. think tank funding a study that says global warming does n't exist -- or at least has n't for 19 years -- but they 'll accept the findings from little ol ' Denmark , wo n't they ?",fallacy of credibility,deepseek/deepseek-chat-v3.1; gemini-flash-non; moonshotai/kimi-k2-thinking; x-ai_grok-4-fast,4
50,"We hope these examples , right out of the weather record books , compiled by C.C . Burt in his book Extreme Weather Changes , will help you to understand the scams alarmists are trying to pull .",appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
50,"We hope these examples , right out of the weather record books , compiled by C.C . Burt in his book Extreme Weather Changes , will help you to understand the scams alarmists are trying to pull .",fallacy of credibility,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,6
51,"One reason that the 2007 predictions of future polar bear survival were so far off base is that the model developed by American biologist Steven Amstrup ( now at Polar Bears International , an NGO ) assumed any polar bear population decline would be caused by less summer ice , despite the Beaufort Sea experience .",fallacy of credibility,gemini-flash-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,5
53,“ Global warming ” is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017 .,fallacy of credibility,anthropic/claude-sonnet-4.5; gemini-flash-non; qwen_qwen3-235b-a22b-2507,3
53,“ Global warming ” is a myth — so say 80 graphs from 58 peer-reviewed scientific papers published in 2017 .,intentional,gemini-flash-thinking; gemini-pro-thinking; x-ai/grok-4-fast-thinking,3
57,"Even the modern godfather of global warming , ex-NASA Goddard Institute for Space Studies director James Hansen , has admitted that the Paris climate agreement is “ a fraud really , a fake. ”",fallacy of credibility,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; openai/gpt-4o-2024-11-20; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,6
58,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",appeal to emotion,openai/gpt-4o-2024-11-20,1
58,"Access to cleaner water has increased ; mortality from ‘ Extreme Weather Events ’ has declined by 99 per cent since the 1920s ; fewer people are dying from heat ; death rates from climate-sensitive diseases like malaria and diarrhoea have decreased ( since 1900 malaria death rates have declined 96 per cent ) ; hunger rates have declined ; poverty has declined ( GDP per capita has quadrupled since 1950 even as CO2 levels have sextupled ) ; life expectancy has more than doubled since the start of industrialisation ; health adjusted life expectancy has increased ; global inequality has decreased in terms of incomes , life expectancies and access to modern-day amenities ; the earth is green and more productive ; habitat lost to agriculture has peaked due to fossil fuel dependent technologies .",fallacy of extension,moonshotai/kimi-k2-thinking; qwen_qwen3-235b-a22b-2507,2
59,Shorten refuses to tell us how he will spend our money or to give any detail on energy ­systems that are proven failures .,fallacy of extension,qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,2
61,"If barren ecosystems constitute an ideal planet , then the alarmist fears of more plant life make sense . On the contrary , global warming realists understand a climate more conducive to richer , more abundant plant life is beneficial rather than harmful .",fallacy of extension,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,10
62,"This attribution error evokes one of Mr. Koonin ’ s rare rebukes : “ Pointing to hurricanes as an example of the ravages of human-caused climate change is at best unconvincing , and at worst plainly dishonest . ”",fallacy of extension,openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,3
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,fallacy of extension,deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; qwen_qwen3-235b-a22b-2507,6
63,He should know that climate always changes and that the planet would be in serious trouble if it did not .,faulty generalization,deepseek/deepseek-r1; openai/gpt-4o-2024-11-20; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,5
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn ’ t matter .",fallacy of extension,qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,2
64,"The U.S. government is at it again , hyping meaningless records in a parameter that does not exist in order to frighten us about something that doesn ’ t matter .",intentional,deepseek/deepseek-r1; gemini-pro-non,2
66,"Global warming alarmism provides them , more than any other issue , with the things they
most want : For politicians it ’ s money and power . For environmentalists it ’ s money for their
organizations and confirmation of their near religious devotion to the idea that man is a
destructive force acting upon nature . And for the media it ’ s ideology , money , and headlines .",fallacy of extension,deepseek/deepseek-r1; gemini-pro-thinking; qwen_qwen3-235b-a22b-2507,3
67,"No genuine environmentalist could honestly support subsidised wind turbines that despoil the scenery , slice and dice birds and bats , damage human health and spread toxins .",appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
67,"No genuine environmentalist could honestly support subsidised wind turbines that despoil the scenery , slice and dice birds and bats , damage human health and spread toxins .",fallacy of extension,qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,2
68,"At six , according to an assessment focused only on effects within the U.S. from the National Oceanic and Atmospheric Administration , summer labor of any kind would become impossible in the lower Mississippi Valley , and everybody in the country east of the Rockies would be under more heat stress than anyone , anywhere , in the world today . As Joseph Romm has put it in his authoritative primer Climate Change : What Everyone Needs to Know , heat stress in New York City would exceed that of present-day Bahrain , one of the planet ’ s hottest spots , and the temperature in Bahrain “ would induce hyperthermia in even sleeping humans. ”",fallacy of logic,gemini-flash-thinking,1
69,"The simple fact is , humans know very little about the climate cycles of our world .",fallacy of logic,gemini-flash-non,1
70,Global human emissions are only 3 per cent of total annual emissions . It has never been shown that human emissions of carbon dioxide drive global warming .,fallacy of logic,deepseek/deepseek-r1; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,4
70,Global human emissions are only 3 per cent of total annual emissions . It has never been shown that human emissions of carbon dioxide drive global warming .,faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,9
72,"“ Even for 2°C of warming , more than a billion people may need to be relocated and in high-end scenarios , the scale of destruction is beyond our capacity to model with a high likelihood of human civilization coming to an end , ” the report notes .",fallacy of logic,deepseek/deepseek-r1; openai/gpt-5,2
73,There ’ s very strange things going on on planet Earth right now . ”,fallacy of logic,gemini-flash-thinking,1
74,"In return for crippling our economy , the Paris Agreement would do next to nothing to impact global temperatures .",faulty generalization,anthropic/claude-sonnet-4.5; x-ai_grok-4-fast,2
75,"There are no carbon emissions . If there were , we could not see because most carbon is black .",fallacy of logic,gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20,3
77,The failure of the 2007 polar bear survival model is a simple fact that explodes the myth that polar bears are on their way to extinction .,fallacy of logic,moonshotai/kimi-k2-thinking; openai/gpt-5,2
78,"In fact , human wellbeing has never been higher",intentional,gemini-pro-non; gemini-pro-thinking,2
80,Forget what global warming activists would lead you to believe – 2015 was not even close to the hottest year on record .,fallacy of relevance,gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b,6
82,The U.S. National Institutes of Health have documented how influenza is aided and abetted by cold climate . Any attempt to connect a warmer climate to an increase in Lyme Disease must be accompanied by an acknowledgement of a warmer climate ’ s propensity to reduce influenza incidence and mortality . The net impact of a warmer climate on viruses and diseases such as Lyme Disease and influenza is substantially beneficial and life-saving .,fallacy of relevance,gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking,4
83,"Over the ages , the subtle variations in the orbits of Earth and Mars , the scientists theorize , have impacted the amount of Earth 's exposure to solar radiation and thus led to shifts in global temperatures and impacting the pattern of Earth 's ice ages .",fallacy of relevance,openai/gpt-5; qwen_qwen3-235b-a22b-2507,2
84,"Next week he will be in Paris , a city terrorized yet again by mass murderers , for a summit with other world leaders on climate change , not terrorism .",fallacy of relevance,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,11
85,"Using terms such as `` battlefield , '' `` siege , '' and `` front , '' those opposed this `` war effort '' have been labeled anything from Nazis to Holocaust deniers . ( I personally have been called a sociopath by climate activist Joe Romm of the Center for American Progress , another story . )",ad hominem,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,13
85,"Using terms such as `` battlefield , '' `` siege , '' and `` front , '' those opposed this `` war effort '' have been labeled anything from Nazis to Holocaust deniers . ( I personally have been called a sociopath by climate activist Joe Romm of the Center for American Progress , another story . )",fallacy of relevance,gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking,3
86,The implications for climate change are obvious . “ The world that they ’ re going to be comfortable in is wildly different from the one that we feel comfortable in .,fallacy of relevance,gemini-flash-non; openai/gpt-5; qwen_qwen3-235b-a22b-2507,3
86,The implications for climate change are obvious . “ The world that they ’ re going to be comfortable in is wildly different from the one that we feel comfortable in .,faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; moonshotai/kimi-k2-thinking; openai/gpt-5; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,6
87,"As global warming pushes temperatures up , more people will die in heat waves ; a point emphasized by campaigners like UN climate chief , Christiana Figueres . What we don ’ t hear from her is that fewer people will die from cold .",fallacy of relevance,deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,8
88,"Ice melting in Greenland contributes more than a millimeter rise to sea level every year , and that 's likely to get worse .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,9
89,"But like most claims regarding global warming , the real effect is small , probably temporary , and most likely due to natural weather patterns .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,12
89,"But like most claims regarding global warming , the real effect is small , probably temporary , and most likely due to natural weather patterns .",faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
90,The fossil record shows that a thriving and diversification of plant and animal life occurs every time the atmosphere had a very high carbon dioxide content .,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
91,A record El Nino resulting in less-than-record temperatures is another sign that global warming is not all that activists crack it up to be .,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,12
92,"Ocean acidification will fry fish populations directly , too , though scientists aren ’ t yet sure how to predict the effects on the stuff we haul out of the ocean to eat ; they do know that in acid waters , oysters and mussels will struggle to grow their shells , and that when the pH of human blood drops as much as the oceans ’ pH has over the past generation , it induces seizures , comas , and sudden death .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10
93,"In fact , it seems that the less the climate
changes , the louder the voices of the climate alarmists get .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,13
94,"Rebounding ground can accelerate the ice cracking and falling away , which may be what happened with this new island that potentially emerged off the coast of Antarctica around 2010 .",false causality,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
95,"Yes , you read that correctly , three million — million — years ago CO2 levels on Earth were the same as they are today , but there is one major difference between three million years ago and today… Three million years ago , we humans were not driving cars or eating the meat that requires cow farts ; we weren ’ t barbecuing or refusing to recycle or building factories ; there was no Industrial Age , no plastic , no air conditioning , no electricity , no lumber mills , no consumerism , no aerosols . In fact , three million years ago , there were probably no human beings on Earth , at least not human in the way we use that term today . And yet…",fallacy of logic,x-ai/grok-4-fast-thinking,1
95,"Yes , you read that correctly , three million — million — years ago CO2 levels on Earth were the same as they are today , but there is one major difference between three million years ago and today… Three million years ago , we humans were not driving cars or eating the meat that requires cow farts ; we weren ’ t barbecuing or refusing to recycle or building factories ; there was no Industrial Age , no plastic , no air conditioning , no electricity , no lumber mills , no consumerism , no aerosols . In fact , three million years ago , there were probably no human beings on Earth , at least not human in the way we use that term today . And yet…",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
96,"The strongest heat wave ever recorded occurred in July 1936 , generating high temperatures in half of America ’ s 50 states . In 1935 , fossil fuel emissions were 25 times lower than today .",false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
