question_id,statement,human_labels,alternative_label,lean4_status,models_supporting_alternative_label,supporting_model_count
3,"For good reason : In the U.S. , and for much of the world , the most dangerous environmental pollutants have been cleaned up . U.S. emissions of particulates , metals and varied gases—all of these : ozone , lead , carbon monoxide , oxides of nitrogen and sulfur—fell almost 70 % between 1970 and 2014 .",ad hominem,intentional,lean_pass,anthropic/claude-sonnet-4.5; gemini-pro-thinking,2
5,You can say this for bleeding-heart liberals : They certainly have a flair for the ironic .,ad hominem,appeal to emotion,lean_pass,gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,6
5,You can say this for bleeding-heart liberals : They certainly have a flair for the ironic .,ad hominem,fallacy of extension,lean_pass,openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507,3
5,You can say this for bleeding-heart liberals : They certainly have a flair for the ironic .,ad hominem,fallacy of relevance,lean_pass,gemini-flash-non; qwen_qwen3-235b-a22b-2507,2
5,You can say this for bleeding-heart liberals : They certainly have a flair for the ironic .,ad hominem,faulty generalization,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b,9
6,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted , “ we will condemn our children to a planet beyond their capacity to repair : Submerged countries .",ad hominem,appeal to emotion,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15
6,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted , “ we will condemn our children to a planet beyond their capacity to repair : Submerged countries .",ad hominem,fallacy of credibility,lean_pass,gemini-flash-non; qwen/qwen3-235b-a22b-thinking-2507,2
6,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted , “ we will condemn our children to a planet beyond their capacity to repair : Submerged countries .",ad hominem,fallacy of extension,lean_pass,qwen_qwen3-235b-a22b-2507,1
6,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted , “ we will condemn our children to a planet beyond their capacity to repair : Submerged countries .",ad hominem,false causality,lean_pass,moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,5
6,"Sounding more like an Old Testament doomsayer than a president , Obama warned in his Alaska speech that unless carbon fuels are restricted , “ we will condemn our children to a planet beyond their capacity to repair : Submerged countries .",ad hominem,false dilemma,lean_pass,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,9
7,"He now says : “ Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ”",ad hominem; intentional,appeal to emotion,lean_pass,openai/gpt-5,1
7,"He now says : “ Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ”",ad hominem; intentional,fallacy of relevance,lean_pass,gemini-flash-thinking,1
7,"He now says : “ Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ”",ad hominem; intentional,false causality,lean_pass,gemini-flash-non; qwen_qwen3-235b-a22b-2507,2
7,"He now says : “ Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ”",ad hominem; intentional,false dilemma,lean_pass,anthropic/claude-sonnet-4.5; gemini-pro-non; gemini-pro-thinking,3
7,"He now says : “ Anyone who tries to predict more than five to 10 years is a bit of an idiot , because so many things can change unexpectedly. ”",ad hominem; intentional,faulty generalization,lean_pass,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,10
8,"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",ad hominem,appeal to emotion,lean_pass,anthropic/claude-sonnet-4.5,1
8,"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",ad hominem,fallacy of relevance,lean_pass,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,8
8,"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",ad hominem,false causality,lean_pass,deepseek/deepseek-chat-v3.1; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; x-ai_grok-4-fast,6
8,"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",ad hominem,faulty generalization,lean_pass,gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; x-ai_grok-4-fast,5
8,"“ The Caitlin Expedition – supported by the Prince of Wales – in which Pen Haddow and his team had to abandon their trip to the North Pole because it was colder than they ’ d expected , ” he continued .",ad hominem,intentional,lean_pass,gemini-pro-thinking; moonshotai/kimi-k2-thinking,2
11,"A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius .",ad populum; fallacy of credibility,appeal to emotion,lean_pass,gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,7
11,"A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius .",ad populum; fallacy of credibility,fallacy of relevance,lean_pass,gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5,3
11,"A defiant generalist in an era of increasingly specialised study , and a mischievous provocateur , Lovelock is regarded by many as a scientific genius .",ad populum; fallacy of credibility,faulty generalization,lean_pass,x-ai_grok-4-fast,1
12,"Nor is there evidence of an increase in floods globally . Since 1965 , more parts of the U.S. have seen a decrease in flooding than have seen an increase . And from 1940 to today , flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent .",ad populum,equivocation,lean_pass,gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5,3
12,"Nor is there evidence of an increase in floods globally . Since 1965 , more parts of the U.S. have seen a decrease in flooding than have seen an increase . And from 1940 to today , flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent .",ad populum,fallacy of relevance,lean_pass,anthropic/claude-sonnet-4.5; gemini-flash-thinking; openai/gpt-5; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,5
12,"Nor is there evidence of an increase in floods globally . Since 1965 , more parts of the U.S. have seen a decrease in flooding than have seen an increase . And from 1940 to today , flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent .",ad populum,false causality,lean_pass,deepseek/deepseek-r1; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,8
12,"Nor is there evidence of an increase in floods globally . Since 1965 , more parts of the U.S. have seen a decrease in flooding than have seen an increase . And from 1940 to today , flood damage as a percentage of GDP has fallen to less than 0.05 per cent per year from about 0.2 per cent .",ad populum,faulty generalization,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,ad hominem,lean_pass,anthropic/claude-sonnet-4.5; gemini-pro-non; gemini-pro-thinking; qwen_qwen3-235b-a22b-2507,4
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,appeal to emotion,lean_pass,gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; x-ai_grok-4-fast,4
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,fallacy of credibility,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,11
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,fallacy of logic,lean_pass,qwen/qwen3-235b-a22b-thinking-2507,1
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,false causality,lean_pass,openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,3
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,false dilemma,lean_pass,gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b,5
13,"He says `` contrary to what your political leader , professor , and newspaper tell you , global warming is dominated by natural factors .",ad populum,faulty generalization,lean_pass,openai/gpt-5; openai/gpt-oss-120b,2
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,appeal to emotion,lean_pass,deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking,5
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,equivocation,lean_pass,openai/gpt-5,1
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,fallacy of extension,lean_pass,qwen_qwen3-235b-a22b-2507,1
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,false causality,lean_pass,moonshotai/kimi-k2-thinking; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,4
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,false dilemma,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,faulty generalization,lean_pass,anthropic/claude-sonnet-4.5; gemini-flash-thinking; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,7
14,Calculations suggest it would need 40 % to 50 % of the arable land of the planet to make it work on the scale we will need and that would not leave enough land to grow crops to feed the world or to provide homes for a viable population of wild animals and plants .,ad populum,intentional,lean_pass,gemini-pro-thinking,1
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,equivocation,lean_pass,qwen/qwen3-235b-a22b-thinking-2507,1
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,fallacy of extension,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,9
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,fallacy of logic,lean_pass,deepseek/deepseek-r1,1
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,fallacy of relevance,lean_pass,openai/gpt-4o-2024-11-20,1
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,false causality,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,8
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,false dilemma,lean_pass,gemini-pro-thinking; openai/gpt-5; openai/gpt-oss-120b; x-ai_grok-4-fast,4
15,"18 years after 1998 , global warming still has not created the runaway warming we were told to expect .",ad populum,faulty generalization,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
16,"Over the past decades , our culture has gone apocalyptic with zombie movies and Mad Max dystopias , perhaps the collective result of displaced climate anxiety , and yet when it comes to contemplating real-world warming dangers , we suffer from an incredible failure of imagination .",ad populum,appeal to emotion,lean_pass,gemini-flash-thinking; gemini-pro-thinking; openai/gpt-5; openai/gpt-oss-120b,4
16,"Over the past decades , our culture has gone apocalyptic with zombie movies and Mad Max dystopias , perhaps the collective result of displaced climate anxiety , and yet when it comes to contemplating real-world warming dangers , we suffer from an incredible failure of imagination .",ad populum,fallacy of logic,lean_pass,deepseek/deepseek-r1,1
16,"Over the past decades , our culture has gone apocalyptic with zombie movies and Mad Max dystopias , perhaps the collective result of displaced climate anxiety , and yet when it comes to contemplating real-world warming dangers , we suffer from an incredible failure of imagination .",ad populum,fallacy of relevance,lean_pass,moonshotai/kimi-k2-thinking; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,3
16,"Over the past decades , our culture has gone apocalyptic with zombie movies and Mad Max dystopias , perhaps the collective result of displaced climate anxiety , and yet when it comes to contemplating real-world warming dangers , we suffer from an incredible failure of imagination .",ad populum,false causality,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14
16,"Over the past decades , our culture has gone apocalyptic with zombie movies and Mad Max dystopias , perhaps the collective result of displaced climate anxiety , and yet when it comes to contemplating real-world warming dangers , we suffer from an incredible failure of imagination .",ad populum,faulty generalization,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,13
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,appeal to emotion,lean_pass,anthropic/claude-sonnet-4.5; gemini-pro-non; x-ai/grok-4-fast-thinking,3
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,equivocation,lean_pass,gemini-pro-thinking; moonshotai/kimi-k2-thinking; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,4
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,fallacy of extension,lean_pass,deepseek/deepseek-r1; gemini-flash-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507,4
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,fallacy of logic,lean_pass,openai/gpt-5,1
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,false causality,lean_pass,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,9
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,false dilemma,lean_pass,anthropic/claude-sonnet-4.5; gemini-flash-non; moonshotai/kimi-k2-thinking; openai/gpt-oss-120b,4
17,The Paris climate treaty will cost around 2 per cent of global GDP and fix much less than a tenth of the problem .,ad populum,faulty generalization,lean_pass,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,ad hominem,lean_pass,gemini-pro-non,1
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,equivocation,lean_pass,moonshotai/kimi-k2-thinking; openai/gpt-5,2
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,fallacy of credibility,lean_pass,gemini-flash-non,1
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,fallacy of extension,lean_pass,deepseek/deepseek-r1; gemini-pro-thinking; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507,5
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,fallacy of relevance,lean_pass,anthropic/claude-sonnet-4.5; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507,6
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,false causality,lean_pass,moonshotai/kimi-k2-thinking,1
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,false dilemma,lean_pass,openai/gpt-oss-120b; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,3
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,faulty generalization,lean_pass,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13
19,"The figure traditionally cited that suggests 97 per cent of climate scientists agree that global warming is man-made was also found to be flawed . A survey which claimed to have questioned 10,257 academics , was found to have winnowed down the sample to just 77 . A poll of 1854 members of the American Meteorological Society found the number who believe climate change to be man-made to be 52 per cent .",ad populum,intentional,lean_pass,anthropic/claude-sonnet-4.5,1
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",appeal to emotion; fallacy of credibility,equivocation,lean_pass,openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; x-ai_grok-4-fast,3
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",appeal to emotion; fallacy of credibility,fallacy of extension,lean_pass,qwen_qwen3-235b-a22b-2507,1
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",appeal to emotion; fallacy of credibility,false causality,lean_pass,deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking,9
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",appeal to emotion; fallacy of credibility,faulty generalization,lean_pass,deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11
21,"Another study revealed that , by 2100 , there will be 2 billion climate refugees – and several million of them will be migrating from Florida to places further inland .",appeal to emotion; fallacy of credibility,intentional,lean_pass,gemini-pro-thinking; moonshotai/kimi-k2-thinking,2
22,"And since the biggest risk to humanity is poverty , if we allow policymakers to have their way , the resulting energy poverty will indeed cause the deaths of some of our children and grandchildren .",appeal to emotion,equivocation,lean_pass,qwen/qwen3-235b-a22b-thinking-2507,1
