question_id,statement,human_labels,augmented_label_set,added_label,models_supporting_added_label,supporting_model_count,human_labels_preserved,human_label_coverage,human_coverage_status,zero_human_label_coverage_flag,augmentation_status
28,"Even if we meet the Paris goals of two degrees warming , cities like Karachi and Kolkata will become close to uninhabitable , annually encountering deadly heat waves like those that crippled them in 2015 .",appeal to emotion,appeal to emotion; false causality; faulty generalization,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
28,"Even if we meet the Paris goals of two degrees warming , cities like Karachi and Kolkata will become close to uninhabitable , annually encountering deadly heat waves like those that crippled them in 2015 .",appeal to emotion,appeal to emotion; false causality; faulty generalization,faulty generalization,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,10,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
29,"At four degrees , the deadly European heat wave of 2003 , which killed as many as 2,000 people a day , will be a normal summer .",appeal to emotion; faulty generalization,appeal to emotion; false causality; faulty generalization,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai_grok-4-fast,13,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
55,"The former president ’ s decision created a ticking time bomb , Zybach argues .
“",ad hominem; fallacy of credibility,appeal to emotion; false causality,appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14,no,0.0,no_human_label_coverage,yes,accepted_augmented_label
55,"The former president ’ s decision created a ticking time bomb , Zybach argues .
“",ad hominem; fallacy of credibility,appeal to emotion; false causality,false causality,deepseek/deepseek-r1; gemini-flash-non; gemini-pro-non; gemini-pro-thinking; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,9,no,0.0,no_human_label_coverage,yes,accepted_augmented_label
76,"There is a popular theory that atmospheric CO2 amplifies the creation of water vapor , thereby increasing warming through a “ positive feedback loop. ” But that theory so far is mostly speculative ; climate projections using models based on it have consistently failed , nearly always predicting far more warming than has occurred .",fallacy of logic,false causality; faulty generalization,faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15,no,0.0,no_human_label_coverage,yes,accepted_augmented_label
76,"There is a popular theory that atmospheric CO2 amplifies the creation of water vapor , thereby increasing warming through a “ positive feedback loop. ” But that theory so far is mostly speculative ; climate projections using models based on it have consistently failed , nearly always predicting far more warming than has occurred .",fallacy of logic,false causality; faulty generalization,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,11,no,0.0,no_human_label_coverage,yes,accepted_augmented_label
84,"Next week he will be in Paris , a city terrorized yet again by mass murderers , for a summit with other world leaders on climate change , not terrorism .",fallacy of relevance,appeal to emotion; fallacy of relevance; false dilemma,appeal to emotion,deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
84,"Next week he will be in Paris , a city terrorized yet again by mass murderers , for a summit with other world leaders on climate change , not terrorism .",fallacy of relevance,appeal to emotion; fallacy of relevance; false dilemma,false dilemma,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,12,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
85,"Using terms such as `` battlefield , '' `` siege , '' and `` front , '' those opposed this `` war effort '' have been labeled anything from Nazis to Holocaust deniers . ( I personally have been called a sociopath by climate activist Joe Romm of the Center for American Progress , another story . )",ad hominem; fallacy of relevance; intentional,ad hominem; appeal to emotion,appeal to emotion,anthropic/claude-sonnet-4.5; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14,no,0.3333,partial_human_label_coverage,no,accepted_augmented_label
90,The fossil record shows that a thriving and diversification of plant and animal life occurs every time the atmosphere had a very high carbon dioxide content .,false causality,false causality; faulty generalization,faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,15,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
91,A record El Nino resulting in less-than-record temperatures is another sign that global warming is not all that activists crack it up to be .,false causality,false causality; faulty generalization,faulty generalization,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
96,"The strongest heat wave ever recorded occurred in July 1936 , generating high temperatures in half of America ’ s 50 states . In 1935 , fossil fuel emissions were 25 times lower than today .",false causality,false causality; faulty generalization,faulty generalization,deepseek/deepseek-chat-v3.1; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,12,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
98,"Will they be held legally responsible when floods do occur ? A strict policy could force some people from their homes . Conversely , should public money be spent to do the work , even if it largely benefits private property ?",false dilemma,appeal to emotion; false dilemma,appeal to emotion,deepseek/deepseek-chat-v3.1; deepseek/deepseek-r1; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,12,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
99,America is poised to become a net energy exporter over the next decade . We should not abandon that progress at the cost of weakening our energy renaissance and crippling economic growth .,false dilemma,appeal to emotion; false dilemma,appeal to emotion,anthropic/claude-sonnet-4.5; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,13,yes,1.0,full_human_label_coverage,no,accepted_augmented_label
108,"Ramping up wind power to 10 , 20 , or 30 % of U.S. electricity production would likely increase annual bat kills to 10-to-30 million every year .",fallacy of extension; faulty generalization,false causality; faulty generalization,false causality,anthropic/claude-sonnet-4.5; deepseek/deepseek-chat-v3.1; gemini-flash-non; gemini-flash-thinking; gemini-pro-non; gemini-pro-thinking; moonshotai/kimi-k2-thinking; openai/gpt-4o-2024-11-20; openai/gpt-5; openai/gpt-oss-120b; qwen/qwen3-235b-a22b-thinking-2507; qwen_qwen3-235b-a22b-2507; x-ai/grok-4-fast-thinking; x-ai_grok-4-fast,14,no,0.5,partial_human_label_coverage,no,accepted_augmented_label
